Car Registration,Make,Model,Colour,Fuel
NJ13 LXX, Ford, Fiesta, Blue,Petrol
LD57 RTE, Audi, A4, Grey,Petrol
RB65 ROB, Seat, Cupra, Black,Petrol
AD58 LDR, Mercedes, C Class, Silver,Petrol
RB66 OLP, Audi, A1, White,petrol
SN18 DDF, Hyundai, i20, Green,Petrol
TR10 NNB, Renault, Megane, Blue,Petrol
KR09 RVN, Kia, C'eed, White,Petrol
WE66 AFG, BMW, 135i, Grey,Petrol
JM13 LKO, Hyundai, i10, Black,Petrol
DF66 ORT, Citreon, Saxo, Mustard,Petrol
GL65 DOW, Suzuki, GSX100, Blue,Petrol
NI55 SAN, Nissan, Juke, Yello,Petrol
XL13 PSR, Mini, Cooper, Red,Petrol
JW18 HSV, Nissan, Micra, Red,Petrol
FL61 JER, Ford, Mustang, Yellow,Petrol
DP67 IOA, Peugeot, 3008, Black,Petrol
QO59 OTL, BMW, Coupe 3, Black,Petrol
HJ66 NSF, Renault, Clio, Blue,Petrol
